(0, 1), 1
(0, 2), 2
(0, 3), 3
(0, 4), 4
(0, 5), 5
(0, 6), 6
(0, 7), 7
(0, 8), 8
(0, 9), 9
(1, 2), 10
(1, 3), 11
(1, 4), 12
(1, 5), 13
(1, 6), 14
(1, 7), 15
(1, 8), 16
(2, 3), 17
(2, 4), 18
(2, 5), 19
(2, 6), 20
(2, 7), 21
(2, 8), 22
(2, 9), 23
(2, 10), 24
(3, 4), 25
(3, 5), 26
(3, 6), 27
(3, 7), 28
(3, 8), 29
(3, 9), 30
(3, 10), 31
(3, 11), 32
(3, 12), 33
(3, 13), 34
(3, 14), 35
(3, 15), 36
(3, 16), 37
(3, 18), 38
(3, 22), 39
(3, 31), 40
(3, 33), 41
(3, 39), 42
(4, 5), 43
(4, 6), 44
(4, 7), 45
(4, 8), 46
(4, 9), 47
(4, 10), 48
(4, 11), 49
(4, 12), 50
(4, 13), 51
(4, 14), 52
(4, 15), 53
(4, 16), 54
(4, 17), 55
(4, 18), 56
(4, 19), 57
(4, 20), 58
(4, 21), 59
(4, 22), 60
(4, 23), 61
(4, 24), 62
(4, 25), 63
(4, 26), 64
(4, 27), 65
(4, 28), 66
(4, 29), 67
(4, 30), 68
(4, 31), 69
(4, 32), 70
(4, 34), 71
(4, 35), 72
(4, 40), 73
(4, 47), 74
(4, 81), 75
(4, 83), 76
(4, 91), 77
(4, 98), 78
(5, 6), 79
(5, 7), 80
(5, 8), 81
(5, 9), 82
(5, 10), 83
(5, 11), 84
(5, 12), 85
(5, 13), 86
(5, 14), 87
(5, 15), 88
(5, 16), 89
(5, 17), 90
(5, 18), 91
(5, 19), 92
(5, 20), 93
(5, 21), 94
(5, 22), 95
(5, 23), 96
(5, 24), 97
(5, 25), 98
(5, 26), 99
(5, 27), 100
(5, 28), 101
(5, 29), 102
(5, 30), 103
(5, 31), 104
(5, 32), 105
(5, 33), 106
(5, 34), 107
(5, 35), 108
(5, 36), 109
(5, 37), 110
(5, 38), 111
(5, 39), 112
(6, 7), 113
(6, 8), 114
(6, 9), 115
(6, 10), 116
(6, 11), 117
(6, 12), 118
(6, 13), 119
(6, 14), 120
(6, 15), 121
(6, 16), 122
(6, 17), 123
(6, 18), 124
(6, 19), 125
(6, 20), 126
(6, 21), 127
